江苏移动直播央视,#genre#
徐州二台,http://ott.js.chinamobile.com/PLTV/3/224/3221225947/index.m3u8
徐州三台,http://ott.js.chinamobile.com/PLTV/3/224/3221225949/index.m3u8
徐州四台,http://ott.js.chinamobile.com/PLTV/3/224/3221225951/index.m3u8
滨海一台,http://jsbh.chinashadt.com:2036/live/bh11.stream/playlist.m3u8
射阳一台,http://sheyang-hls-tv-yf.cm.jstv.com/live/syzh/online.m3u8
东台一台,http://dongtai-hls-tv-yf.cm.jstv.com/live/dttv1/online.m3u8
盐都一台,http://yandu-hls-tv-yf.cm.jstv.com/live/yanduzh/online.m3u8
嘉佳卡通,http://ott.js.chinamobile.com/PLTV/4/224/3221227009/index.m3u8
教育就业,http://ott.js.chinamobile.com/PLTV/4/224/3221227034/index.m3u8
置业频道,http://ott.js.chinamobile.com/PLTV/4/224/3221227037/index.m3u8
京视剧场,http://ott.js.chinamobile.com/PLTV/4/224/3221227040/index.m3u8
新娱乐,http://ott.js.chinamobile.com/PLTV/4/224/3221227021/index.m3u8
家庭理财,http://ott.js.chinamobile.com/PLTV/4/224/3221227011/index.m3u8
奕坛春秋,http://ott.js.chinamobile.com/PLTV/4/224/3221227031/index.m3u8
高尔夫,http://ott.js.chinamobile.com/PLTV/4/224/3221227033/index.m3u8
休闲指南,http://ott.js.chinamobile.com/PLTV/4/224/3221227014/index.m3u8
中国交通,http://ott.js.chinamobile.com/PLTV/4/224/3221227027/index.m3u8
国学频道,http://ott.js.chinamobile.com/PLTV/4/224/3221227020/index.m3u8
篮球,http://ott.js.chinamobile.com/PLTV/4/224/3221227023/index.m3u8
CGTN,http://ott.js.chinamobile.com/PLTV/4/224/3221225917/index.m3u8
CETV-1,http://ott.js.chinamobile.com/PLTV/4/224/3221225909/index.m3u8
CETV-2,http://ott.js.chinamobile.com/PLTV/4/224/3221225850/index.m3u8
CETV-3,http://ott.js.chinamobile.com/PLTV/4/224/3221227018/index.m3u8
CETV-4,http://ott.js.chinamobile.com/PLTV/4/224/3221227028/index.m3u8
NewTV动画王国,http://ott.js.chinamobile.com/PLTV/3/224/3221225555/index.m3u8
NewTV精品电影,http://ott.js.chinamobile.com/PLTV/3/224/3221225567/index.m3u8
NewTV完美游戏,http://ott.js.chinamobile.com/PLTV/3/224/3221225539/index.m3u8
Newtv潮妈辣婆,http://ott.js.chinamobile.com/PLTV/3/224/3221227527/index.m3u8
Newtv炫舞未来,http://ott.js.chinamobile.com/PLTV/3/224/3221227475/index.m3u8
Newtv爱情喜剧,http://ott.js.chinamobile.com/PLTV/3/224/3221227548/index.m3u8
Newtv精品体育,,http://ott.js.chinamobile.com/PLTV/3/224/3221227615/index.m3u8
Newtv精品记录,http://ott.js.chinamobile.com/PLTV/3/224/3221227547/index.m3u8
Newtv金牌综艺,http://ott.js.chinamobile.com/PLTV/3/224/3221227541/index.m3u8
Newtv中国功夫,http://ott.js.chinamobile.com/PLTV/3/224/3221227530/index.m3u8
Newtv健康有约,http://ott.js.chinamobile.com/PLTV/3/224/3221227612/index.m3u8
Newtv军事评论,http://ott.js.chinamobile.com/PLTV/3/224/3221227544/index.m3u8
Newtv军旅剧场,http://ott.js.chinamobile.com/PLTV/3/224/3221227603/index.m3u8
Newtv农业致富,http://ott.js.chinamobile.com/PLTV/3/224/3221227588/index.m3u8
Newtv动作电影,http://ott.js.chinamobile.com/PLTV/3/224/3221227606/index.m3u8
Newtv古装剧场,http://ott.js.chinamobile.com/PLTV/3/224/3221227542/index.m3u8
Newtv家庭剧场,http://ott.js.chinamobile.com/PLTV/3/224/3221227600/index.m3u8
